Timestamp (ms),Node Power (W),Socket 0 CPU Power (W),Socket 0 GPU Power (W),Socket 0 Mem Power (W),Socket 1 CPU Power (W),Socket 1 GPU Power (W),Socket 1 Mem Power (W)
1696448706365, 589.000000, 108.000000, 100.000000, 20.000000,118.000000, 99.000000, 21.000000
1696448706415, 578.000000, 138.000000, 101.000000, 21.000000,161.000000, 100.000000, 21.000000
1696448706464, 579.000000, 166.000000, 101.000000, 21.000000,180.000000, 100.000000, 21.000000
1696448706514, 591.000000, 141.000000, 101.000000, 20.000000,157.000000, 100.000000, 21.000000
1696448706564, 605.000000, 122.000000, 102.000000, 22.000000,129.000000, 101.000000, 21.000000
1696448706615, 598.000000, 160.000000, 101.000000, 21.000000,172.000000, 100.000000, 21.000000
1696448706664, 567.000000, 110.000000, 101.000000, 21.000000,119.000000, 100.000000, 21.000000
1696448706715, 592.000000, 149.000000, 102.000000, 21.000000,162.000000, 101.000000, 21.000000
1696448706763, 574.000000, 114.000000, 101.000000, 21.000000,117.000000, 100.000000, 21.000000
1696448706814, 591.000000, 172.000000, 102.000000, 22.000000,173.000000, 101.000000, 22.000000
1696448706863, 554.000000, 157.000000, 102.000000, 21.000000,166.000000, 101.000000, 22.000000
1696448706913, 589.000000, 178.000000, 101.000000, 21.000000,178.000000, 100.000000, 22.000000
1696448706964, 578.000000, 163.000000, 102.000000, 21.000000,180.000000, 100.000000, 21.000000
1696448707014, 609.000000, 141.000000, 101.000000, 21.000000,155.000000, 99.000000, 21.000000
1696448707062, 574.000000, 111.000000, 100.000000, 21.000000,117.000000, 99.000000, 21.000000
1696448707113, 594.000000, 127.000000, 101.000000, 20.000000,135.000000, 98.000000, 20.000000
1696448707164, 588.000000, 154.000000, 102.000000, 22.000000,171.000000, 100.000000, 22.000000
1696448707213, 603.000000, 138.000000, 101.000000, 21.000000,146.000000, 99.000000, 21.000000
1696448707263, 558.000000, 165.000000, 102.000000, 22.000000,170.000000, 101.000000, 22.000000
1696448707315, 590.000000, 114.000000, 101.000000, 21.000000,126.000000, 100.000000, 21.000000
1696448707365, 605.000000, 146.000000, 101.000000, 21.000000,126.000000, 100.000000, 21.000000
1696448707414, 613.000000, 142.000000, 101.000000, 21.000000,148.000000, 100.000000, 21.000000
1696448707462, 572.000000, 152.000000, 101.000000, 21.000000,157.000000, 100.000000, 21.000000
1696448707516, 611.000000, 145.000000, 101.000000, 21.000000,153.000000, 100.000000, 20.000000
1696448707563, 607.000000, 145.000000, 100.000000, 21.000000,126.000000, 100.000000, 20.000000
1696448707612, 598.000000, 169.000000, 102.000000, 22.000000,179.000000, 100.000000, 22.000000
1696448707664, 550.000000, 115.000000, 100.000000, 21.000000,142.000000, 99.000000, 20.000000
1696448707713, 589.000000, 134.000000, 101.000000, 20.000000,149.000000, 100.000000, 20.000000
1696448707764, 576.000000, 116.000000, 101.000000, 21.000000,117.000000, 100.000000, 21.000000
1696448707814, 598.000000, 174.000000, 102.000000, 21.000000,188.000000, 101.000000, 22.000000
1696448707863, 568.000000, 143.000000, 101.000000, 21.000000,145.000000, 100.000000, 21.000000
1696448707914, 596.000000, 169.000000, 102.000000, 21.000000,173.000000, 101.000000, 22.000000
1696448707964, 589.000000, 149.000000, 102.000000, 21.000000,175.000000, 100.000000, 21.000000
