#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            Coulomb             BlockWeight         BlockCPU            AcceptRatio         
        44   -2.8330303377e+00    8.1816769623e+00   -6.5329417850e+00    3.6999114473e+00    1.1374848464e+00   -7.6704266314e+00    1.6000000000e+04    6.2483299775e-02    8.6584375000e-01
        45   -2.8472075487e+00    8.2597502479e+00   -6.4121921903e+00    3.5649846416e+00    1.1284370322e+00   -7.5406292225e+00    1.6000000000e+04    6.1998278856e-02    8.7356250000e-01
        46   -2.8388854536e+00    8.2049173244e+00   -6.5201623599e+00    3.6812769062e+00    1.1257676877e+00   -7.6459300475e+00    1.6000000000e+04    6.2043277294e-02    8.6981250000e-01
        47   -2.8253710819e+00    8.1380322194e+00   -6.5180198097e+00    3.6926487279e+00    1.1502659466e+00   -7.6682857563e+00    1.6000000000e+04    6.2342176894e-02    8.7337500000e-01
        48   -2.8281733745e+00    8.1506660837e+00   -6.6277122859e+00    3.7995389113e+00    1.1540894363e+00   -7.7818017222e+00    1.6000000000e+04    6.2211329019e-02    8.6846875000e-01
        49   -2.8292352512e+00    8.1643198671e+00   -6.6747596678e+00    3.8455244166e+00    1.1493960530e+00   -7.8241557208e+00    1.6000000000e+04    6.3015887256e-02    8.7150000000e-01
        50   -2.8426417358e+00    8.2282857995e+00   -6.4676258044e+00    3.6249840686e+00    1.1212600725e+00   -7.5888858770e+00    1.6000000000e+04    6.2852481700e-02    8.7284375000e-01
        51   -2.8400123773e+00    8.2193934082e+00   -6.5246412012e+00    3.6846288240e+00    1.1314326675e+00   -7.6560738687e+00    1.6000000000e+04    6.2525884950e-02    8.7128125000e-01
        52   -2.8330267297e+00    8.1785675379e+00   -6.5119528152e+00    3.6789260854e+00    1.1369589021e+00   -7.6489117172e+00    1.6000000000e+04    6.2141943619e-02    8.6912500000e-01
        53   -2.8122516879e+00    8.0621899419e+00   -6.6225491727e+00    3.8102974848e+00    1.1672640586e+00   -7.7898132314e+00    1.6000000000e+04    6.1850761269e-02    8.6496875000e-01
        54   -2.8435063996e+00    8.2409139123e+00   -6.6008877486e+00    3.7573813490e+00    1.1228967140e+00   -7.7237844626e+00    1.6000000000e+04    6.2177422931e-02    8.6884375000e-01
        55   -2.8328925885e+00    8.1736762839e+00   -6.6072777765e+00    3.7743851880e+00    1.1322964380e+00   -7.7395742146e+00    1.6000000000e+04    6.2278074019e-02    8.7325000000e-01
        56   -2.8461435333e+00    8.2505507349e+00   -6.3999414447e+00    3.5537979114e+00    1.1178215348e+00   -7.5177629795e+00    1.6000000000e+04    6.2349831194e-02    8.7396875000e-01
        57   -2.8371573321e+00    8.1968780367e+00   -6.5116743003e+00    3.6745169681e+00    1.1353979738e+00   -7.6470722740e+00    1.6000000000e+04    6.2181405219e-02    8.7193750000e-01
        58   -2.8532625420e+00    8.2911645246e+00   -6.3288199644e+00    3.4755574224e+00    1.1069982920e+00   -7.4358182563e+00    1.6000000000e+04    6.2549135500e-02    8.7171875000e-01
