# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
        56   -1.7256162299e+01    2.2101054281e-01    1.0240023187e+04    1.0248000000e+04    3.1250000000e-01   -1.7413233299e+01    9.9568879608e-01    9.9882903981e-01
        57   -1.7259071173e+01    2.9468756961e-01    1.0240074360e+04    1.0241000000e+04    2.5000000000e-01   -1.7275692595e+01    9.9544161276e-01    9.9912117957e-01
        58   -1.7253593684e+01    2.3013669249e-01    1.0239923688e+04    1.0242000000e+04    4.3750000000e-01   -1.7298129859e+01    9.9534369735e-01    9.9951181410e-01
        59   -1.7255292913e+01    2.1871526537e-01    1.0240026897e+04    1.0240000000e+04    2.5000000000e-01   -1.7253593684e+01    9.9513831426e-01    9.9902343750e-01
        60   -1.7261687489e+01    2.4494667158e-01    1.0240171902e+04    1.0241000000e+04    1.8750000000e-01   -1.7274823209e+01    9.9639535787e-01    9.9873059272e-01
        61   -1.7261552293e+01    2.1952312780e-01    1.0239991431e+04    1.0235000000e+04    3.7500000000e-01   -1.7164007389e+01    9.9490482846e-01    9.9941377626e-01
        62   -1.7260106790e+01    2.3185018196e-01    1.0239957435e+04    1.0239000000e+04    3.7500000000e-01   -1.7242020089e+01    9.9518563953e-01    9.9931633949e-01
        63   -1.7261148874e+01    2.2790023427e-01    1.0240010195e+04    1.0239000000e+04    2.5000000000e-01   -1.7240574586e+01    9.9628080010e-01    9.9892567634e-01
        64   -1.7258692236e+01    2.6233429497e-01    1.0239949697e+04    1.0241000000e+04    6.8750000000e-01   -1.7280679171e+01    9.9543018903e-01    9.9912117957e-01
        65   -1.7258485003e+01    2.7053558431e-01    1.0240006724e+04    1.0239000000e+04    3.7500000000e-01   -1.7239160032e+01    9.9570748485e-01    9.9960933685e-01
        66   -1.7260483548e+01    2.4902102564e-01    1.0240051698e+04    1.0244000000e+04    4.3750000000e-01   -1.7336594748e+01    9.9566884524e-01    9.9931667317e-01
        67   -1.7261684880e+01    2.4234921263e-01    1.0240049419e+04    1.0242000000e+04    3.1250000000e-01   -1.7299542234e+01    9.9513223680e-01    9.9931653974e-01
        68   -1.7256916131e+01    2.3700692804e-01    1.0239871750e+04    1.0241000000e+04    2.5000000000e-01   -1.7281215176e+01    9.9535951588e-01    9.9863294600e-01
        69   -1.7254090991e+01    2.5160589559e-01    1.0239910865e+04    1.0236000000e+04    5.0000000000e-01   -1.7178775868e+01    9.9564238490e-01    9.9980461118e-01
        70   -1.7251510935e+01    2.2553653065e-01    1.0239994315e+04    1.0247000000e+04    3.1250000000e-01   -1.7390763032e+01    9.9548220548e-01    9.9912169415e-01
        71   -1.7256802603e+01    2.4015246203e-01    1.0240153198e+04    1.0244000000e+04    2.5000000000e-01   -1.7329620680e+01    9.9555250019e-01    9.9960952753e-01
        72   -1.7254880778e+01    2.4548292442e-01    1.0239984510e+04    1.0247000000e+04    1.8750000000e-01   -1.7393474644e+01    9.9555309080e-01    9.9882892554e-01
        73   -1.7259407961e+01    3.0551528080e-01    1.0240150778e+04    1.0242000000e+04    3.7500000000e-01   -1.7293939464e+01    9.9543171008e-01    9.9941417692e-01
        74   -1.7254088736e+01    2.3936416313e-01    1.0239889352e+04    1.0247000000e+04    4.3750000000e-01   -1.7396080002e+01    9.9551927832e-01    9.9882892554e-01
        75   -1.7258029802e+01    2.3936710396e-01    1.0240107633e+04    1.0241000000e+04    3.1250000000e-01   -1.7273619033e+01    9.9513935086e-01    9.9970705986e-01
        76   -1.7257482457e+01    2.6151283871e-01    1.0239997786e+04    1.0245000000e+04    3.1250000000e-01   -1.7355662218e+01    9.9579379608e-01    9.9892630551e-01
        77   -1.7254534945e+01    2.6406832046e-01    1.0239943097e+04    1.0242000000e+04    2.5000000000e-01   -1.7296541142e+01    9.9497632785e-01    9.9951181410e-01
        78   -1.7254875775e+01    2.4496146788e-01    1.0240027128e+04    1.0243000000e+04    3.1250000000e-01   -1.7313120114e+01    9.9582111069e-01    9.9951186176e-01
        79   -1.7249658840e+01    2.3025953985e-01    1.0239857729e+04    1.0242000000e+04    2.5000000000e-01   -1.7293934461e+01    9.9531943944e-01    9.9941417692e-01
        80   -1.7250787661e+01    2.5405150817e-01    1.0240034068e+04    1.0243000000e+04    3.7500000000e-01   -1.7308244009e+01    9.9566040831e-01    9.9902372352e-01
        81   -1.7249532354e+01    2.5923463698e-01    1.0239947440e+04    1.0237000000e+04    1.8750000000e-01   -1.7192185326e+01    9.9590006870e-01    9.9960926053e-01
        82   -1.7249972022e+01    2.4141665064e-01    1.0240050373e+04    1.0248000000e+04    3.1250000000e-01   -1.7405721350e+01    9.9591001333e-01    9.9873145980e-01
        83   -1.7253502661e+01    2.2572388027e-01    1.0240065565e+04    1.0237000000e+04    3.7500000000e-01   -1.7191369687e+01    9.9507893929e-01    9.9921852105e-01
        84   -1.7254145275e+01    2.4373183928e-01    1.0240035923e+04    1.0241000000e+04    3.1250000000e-01   -1.7273032958e+01    9.9532609400e-01    9.9941411971e-01
        85   -1.7254950712e+01    2.3503424124e-01    1.0240058709e+04    1.0246000000e+04    3.7500000000e-01   -1.7371298457e+01    9.9502918624e-01    9.9863361312e-01
        86   -1.7258903144e+01    2.2964012946e-01    1.0240093471e+04    1.0238000000e+04    3.1250000000e-01   -1.7215884397e+01    9.9546234741e-01    9.9960929869e-01
        87   -1.7257472550e+01    2.3250502623e-01    1.0239978204e+04    1.0243000000e+04    3.7500000000e-01   -1.7317488313e+01    9.9569335995e-01    9.9970711706e-01
        88   -1.7260522497e+01    2.2949236565e-01    1.0240099698e+04    1.0246000000e+04    3.7500000000e-01   -1.7374625731e+01    9.9570581946e-01    9.9951200468e-01
        89   -1.7257442666e+01    2.5933991313e-01    1.0239948538e+04    1.0247000000e+04    3.7500000000e-01   -1.7397194538e+01    9.9540764587e-01    9.9853615692e-01
        90   -1.7265347485e+01    2.6826683094e-01    1.0240208045e+04    1.0237000000e+04    3.7500000000e-01   -1.7198840331e+01    9.9530375050e-01    9.9921852105e-01
        91   -1.7257290182e+01    2.1845925517e-01    1.0239784307e+04    1.0238000000e+04    3.1250000000e-01   -1.7226281170e+01    9.9514588603e-01    9.9921859738e-01
        92   -1.7259818826e+01    2.4761287510e-01    1.0240053880e+04    1.0238000000e+04    2.5000000000e-01   -1.7218223867e+01    9.9529223930e-01    9.9921859738e-01
        93   -1.7254920435e+01    2.3388607246e-01    1.0239902164e+04    1.0242000000e+04    5.0000000000e-01   -1.7298877512e+01    9.9537539618e-01    9.9960945128e-01
        94   -1.7256184320e+01    2.1832101629e-01    1.0240042805e+04    1.0244000000e+04    2.5000000000e-01   -1.7333030180e+01    9.9552954057e-01    9.9960952753e-01
        95   -1.7253983615e+01    2.6060314194e-01    1.0239949122e+04    1.0245000000e+04    2.5000000000e-01   -1.7353816735e+01    9.9587531640e-01    9.9960956564e-01
