#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
        38   -1.7265093915e+01    2.9831451277e+02   -3.1031669165e+01    1.3766575250e+01   -5.7082233343e+01    1.9386868294e+00    1.7131114102e+01    6.9807632464e+00    1.0304000000e+05    1.2488121830e+00    9.9741742418e-01
        39   -1.7263109907e+01    2.9825719171e+02   -3.1025641306e+01    1.3762531399e+01   -5.7068054162e+01    1.9440933896e+00    1.7117556220e+01    6.9807632464e+00    1.0281600000e+05    1.2828780872e+00    9.9724839487e-01
        40   -1.7266429642e+01    2.9835997748e+02   -3.0998609842e+01    1.3732180200e+01   -5.7014332245e+01    1.9190784992e+00    1.7115880658e+01    6.9807632464e+00    1.0272900000e+05    1.2351237571e+00    9.9734723064e-01
        41   -1.7267582076e+01    2.9840236331e+02   -3.1047506033e+01    1.3779923957e+01   -5.7085093362e+01    1.9464236777e+00    1.7110400404e+01    6.9807632464e+00    1.0276200000e+05    1.2581649092e+00    9.9727173831e-01
        42   -1.7260536053e+01    2.9817569415e+02   -3.1042301567e+01    1.3781765514e+01   -5.7127046967e+01    1.9885043338e+00    1.7115477819e+01    6.9807632464e+00    1.0268100000e+05    1.2432028684e+00    9.9733902232e-01
        43   -1.7267503820e+01    2.9841684583e+02   -3.1019172969e+01    1.3751669149e+01   -5.7083574278e+01    1.9598498211e+00    1.7123788242e+01    6.9807632464e+00    1.0255000000e+05    1.2414410742e+00    9.9736632695e-01
        44   -1.7268634391e+01    2.9845291423e+02   -3.1017733518e+01    1.3749099127e+01   -5.7012840297e+01    1.8962964615e+00    1.7118047071e+01    6.9807632464e+00    1.0261400000e+05    1.2536864117e+00    9.9733658720e-01
        45   -1.7264132310e+01    2.9829665897e+02   -3.1011873470e+01    1.3747741160e+01   -5.6981281813e+01    1.8779829321e+00    1.7110662164e+01    6.9807632464e+00    1.0269500000e+05    1.2475434846e+00    9.9738444391e-01
        46   -1.7262676119e+01    2.9823805647e+02   -3.0969039665e+01    1.3706363546e+01   -5.6955668106e+01    1.8977410938e+00    1.7108124101e+01    6.9807632464e+00    1.0260800000e+05    1.2547740446e+00    9.9729093804e-01
        47   -1.7264459669e+01    2.9829098080e+02   -3.0912364684e+01    1.3647905015e+01   -5.6885856441e+01    1.8635282824e+00    1.7129200228e+01    6.9807632464e+00    1.0261000000e+05    1.2460511434e+00    9.9743662134e-01
        48   -1.7262627321e+01    2.9826316009e+02   -3.0903010666e+01    1.3640383345e+01   -5.6861599153e+01    1.8529404490e+00    1.7124884791e+01    6.9807632464e+00    1.0264100000e+05    1.2371135422e+00    9.9733334135e-01
        49   -1.7265957609e+01    2.9834108235e+02   -3.0909411854e+01    1.3643454245e+01   -5.6888734587e+01    1.8975883006e+00    1.7100971186e+01    6.9807632464e+00    1.0237600000e+05    1.2900380911e+00    9.9740342858e-01
        50   -1.7262600603e+01    2.9823956709e+02   -3.0830337272e+01    1.3567736670e+01   -5.6826668726e+01    1.9245685169e+00    1.7090999690e+01    6.9807632464e+00    1.0241600000e+05    1.2449856400e+00    9.9737652822e-01
        51   -1.7259986015e+01    2.9814684545e+02   -3.0860257565e+01    1.3600271550e+01   -5.6824659325e+01    1.8950074142e+00    1.7088631100e+01    6.9807632464e+00    1.0245700000e+05    1.2486995038e+00    9.9737979625e-01
        52   -1.7263530441e+01    2.9828921513e+02   -3.0836592510e+01    1.3573062069e+01   -5.6851537215e+01    1.9362877546e+00    1.7097893704e+01    6.9807632464e+00    1.0244300000e+05    1.2530129841e+00    9.9729082979e-01
        53   -1.7265728492e+01    2.9833982301e+02   -3.0885453661e+01    1.3619725169e+01   -5.6887020809e+01    1.9391185496e+00    1.7081685352e+01    6.9807632464e+00    1.0252900000e+05    1.2398286879e+00    9.9733344487e-01
        54   -1.7260994790e+01    2.9818173120e+02   -3.0878345328e+01    1.3617350538e+01   -5.6893001762e+01    1.9618909455e+00    1.7072002242e+01    6.9807632464e+00    1.0270900000e+05    1.2508880507e+00    9.9731322595e-01
        55   -1.7259835273e+01    2.9812687716e+02   -3.0863262668e+01    1.3603427395e+01   -5.6877759661e+01    1.9612941277e+00    1.7072439619e+01    6.9807632464e+00    1.0291600000e+05    1.2581813491e+00    9.9741607227e-01
        56   -1.7268148429e+01    2.9842847529e+02   -3.0870607000e+01    1.3602458571e+01   -5.6860414938e+01    1.9415702168e+00    1.7067474475e+01    6.9807632464e+00    1.0307300000e+05    1.2487084796e+00    9.9738536138e-01
        57   -1.7265121576e+01    2.9832173196e+02   -3.0889094293e+01    1.3623972717e+01   -5.6883038013e+01    1.9489357882e+00    1.7064244686e+01    6.9807632464e+00    1.0312900000e+05    1.2512781578e+00    9.9735365482e-01
        58   -1.7263577994e+01    2.9826782437e+02   -3.0885724249e+01    1.3622146255e+01   -5.6834666833e+01    1.9244126275e+00    1.7043766709e+01    6.9807632464e+00    1.0320900000e+05    1.2436241977e+00    9.9737795018e-01
