#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            IonIon              ElecElec            BlockWeight         BlockCPU            AcceptRatio         
        47   -8.5474059315e+00    7.3201404082e+01   -1.6126356852e+01    7.5789509201e+00   -1.1854517938e+01   -3.6892268292e+00   -5.8261208433e-01    1.0265000000e+05    2.4456393200e-01    9.9706714187e-01
        48   -8.5464892006e+00    7.3185763970e+01   -1.6187743878e+01    7.6412546773e+00   -1.1912332612e+01   -3.6892268292e+00   -5.8618443642e-01    1.0263100000e+05    2.4591255900e-01    9.9705530208e-01
        49   -8.5501012299e+00    7.3247609528e+01   -1.6135514370e+01    7.5854131398e+00   -1.1868922625e+01   -3.6892268292e+00   -5.7736491588e-01    1.0263800000e+05    2.5017951387e-01    9.9717945814e-01
        50   -8.5485508862e+00    7.3220913259e+01   -1.6133193261e+01    7.5846423744e+00   -1.1858583143e+01   -3.6892268292e+00   -5.8538328860e-01    1.0266500000e+05    2.4723143750e-01    9.9710000663e-01
        51   -8.5471783899e+00    7.3194967851e+01   -1.6135632564e+01    7.5884541744e+00   -1.1855428762e+01   -3.6892268292e+00   -5.9097697323e-01    1.0241800000e+05    2.4267816506e-01    9.9707139077e-01
        52   -8.5481955976e+00    7.3213478231e+01   -1.6129927843e+01    7.5817322456e+00   -1.1849512710e+01   -3.6892268292e+00   -5.9118830399e-01    1.0236100000e+05    2.4522516925e-01    9.9712530135e-01
        53   -8.5449592963e+00    7.3157617244e+01   -1.6106667568e+01    7.5617082720e+00   -1.1826219037e+01   -3.6892268292e+00   -5.9122170237e-01    1.0253100000e+05    2.4078243106e-01    9.9710064650e-01
        54   -8.5455076579e+00    7.3170138618e+01   -1.6072309785e+01    7.5268021275e+00   -1.1800977661e+01   -3.6892268292e+00   -5.8210529478e-01    1.0239900000e+05    2.4576774463e-01    9.9709255300e-01
        55   -8.5512066774e+00    7.3268208984e+01   -1.6121600450e+01    7.5703937728e+00   -1.1845306494e+01   -3.6892268292e+00   -5.8706712739e-01    1.0241100000e+05    2.4950803594e-01    9.9711676459e-01
        56   -8.5489732930e+00    7.3227271486e+01   -1.6095967676e+01    7.5469943832e+00   -1.1805545866e+01   -3.6892268292e+00   -6.0119498073e-01    1.0243900000e+05    2.4444546594e-01    9.9706913475e-01
