# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
        44   -8.5470254193e+00    1.4634850348e-01    1.0239947285e+04    1.0238000000e+04    1.8750000000e-01   -8.5097275058e+00    9.9443690815e-01    9.9960929869e-01
        45   -8.5473089224e+00    1.4821937924e-01    1.0240009511e+04    1.0241000000e+04    3.1250000000e-01   -8.5665557157e+00    9.9483131484e-01    9.9853529929e-01
        46   -8.5458821932e+00    1.4359626139e-01    1.0239906941e+04    1.0229000000e+04    5.0000000000e-01   -8.3323496951e+00    9.9501986072e-01    9.9980447747e-01
        47   -8.5438672590e+00    1.4377342543e-01    1.0239935139e+04    1.0238000000e+04    3.1250000000e-01   -8.5068158780e+00    9.9417841451e-01    9.9980464935e-01
        48   -8.5447800751e+00    1.4699581829e-01    1.0240038804e+04    1.0244000000e+04    3.7500000000e-01   -8.6219770042e+00    9.9495266983e-01    9.9931667317e-01
        49   -8.5423097851e+00    1.4402081361e-01    1.0239946148e+04    1.0242000000e+04    3.1250000000e-01   -8.5838387609e+00    9.9491098947e-01    9.9921890256e-01
        50   -8.5444134485e+00    1.4058151119e-01    1.0240057850e+04    1.0240000000e+04    4.3750000000e-01   -8.5423097851e+00    9.9523380165e-01    9.9921875000e-01
        51   -8.5402463310e+00    1.4309734092e-01    1.0239863652e+04    1.0235000000e+04    2.5000000000e-01   -8.4467333489e+00    9.9400841931e-01    9.9941377626e-01
        52   -8.5376795359e+00    1.4238885195e-01    1.0239909158e+04    1.0235000000e+04    3.1250000000e-01   -8.4425662313e+00    9.9392276961e-01    9.9921836834e-01
        53   -8.5387511427e+00    1.3658161441e-01    1.0239981954e+04    1.0231000000e+04    3.1250000000e-01   -8.3618209930e+00    9.9488562779e-01    9.9941354706e-01
        54   -8.5438101894e+00    1.4598228897e-01    1.0240127803e+04    1.0239000000e+04    5.0000000000e-01   -8.5192189390e+00    9.9517461437e-01    9.9931633949e-01
        55   -8.5404791929e+00    1.4103558037e-01    1.0239885278e+04    1.0235000000e+04    1.2500000000e-01   -8.4461300898e+00    9.9349304062e-01    9.9970688813e-01
        56   -8.5403296535e+00    1.4257026509e-01    1.0239994559e+04    1.0240000000e+04    3.7500000000e-01   -8.5404791929e+00    9.9548609934e-01    9.9951171875e-01
        57   -8.5421859938e+00    1.4183944702e-01    1.0240066467e+04    1.0243000000e+04    3.1250000000e-01   -8.5989148221e+00    9.9576322833e-01    9.9912135117e-01
        58   -8.5453787431e+00    1.4771411578e-01    1.0240070477e+04    1.0238000000e+04    2.5000000000e-01   -8.5031196786e+00    9.9500421167e-01    9.9941394804e-01
        59   -8.5468471109e+00    1.4870990186e-01    1.0240005696e+04    1.0234000000e+04    2.5000000000e-01   -8.4281568974e+00    9.9375697969e-01    9.9980457299e-01
        60   -8.5470457658e+00    1.4699498001e-01    1.0240003970e+04    1.0240000000e+04    2.5000000000e-01   -8.5468471109e+00    9.9531217189e-01    9.9931640625e-01
        61   -8.5476282508e+00    1.4967969344e-01    1.0240034136e+04    1.0243000000e+04    3.7500000000e-01   -8.6056309344e+00    9.9481461373e-01    9.9931660646e-01
        62   -8.5508270500e+00    1.4869542629e-01    1.0240103832e+04    1.0244000000e+04    3.1250000000e-01   -8.6257379960e+00    9.9526755454e-01    9.9921905506e-01
        63   -8.5468891781e+00    1.4441183526e-01    1.0239920689e+04    1.0243000000e+04    2.5000000000e-01   -8.6094122186e+00    9.9523870240e-01    9.9902372352e-01
        64   -8.5450489211e+00    1.4419740700e-01    1.0239942450e+04    1.0238000000e+04    3.1250000000e-01   -8.5078228629e+00    9.9448176745e-01    9.9980464935e-01
        65   -8.5424920307e+00    1.4514609250e-01    1.0239932278e+04    1.0241000000e+04    2.5000000000e-01   -8.5645792175e+00    9.9383680233e-01    9.9951176643e-01
        66   -8.5454058343e+00    1.4704643621e-01    1.0240087932e+04    1.0243000000e+04    3.1250000000e-01   -8.6010771994e+00    9.9474163178e-01    9.9941423411e-01
        67   -8.5446220074e+00    1.4433987823e-01    1.0239995106e+04    1.0243000000e+04    2.5000000000e-01   -8.6039910029e+00    9.9426711957e-01    9.9834032998e-01
        68   -8.5419299447e+00    1.4220560296e-01    1.0239892233e+04    1.0231000000e+04    4.3750000000e-01   -8.3687634645e+00    9.9499378605e-01    9.9980451569e-01
        69   -8.5419000309e+00    1.4583134943e-01    1.0240027226e+04    1.0244000000e+04    3.7500000000e-01   -8.6200396899e+00    9.9460260373e-01    9.9931667317e-01
